X Field,X軸欄位
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",根據此倉庫庫存可用情況顯示“有庫存”或“無庫存”狀態。
You can only plan for upto {0} vacancies and budget {1} \				for {2} as per staffing plan {3} for parent company {4}.,根據母公司{4}的人員配置計劃{3}，您只能針對{2}計劃最多{0}個職位空缺和預算{1} \。
Please set filter based on Item or Warehouse,根據物料或倉庫請設定過濾條件
As per section 17(5),根據第17（5）條
Calculate Prorated Depreciation Schedule Based on Fiscal Year,根據財年計算計劃折舊
Get Invoices based on Filters,根據過濾條件獲取發票
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}",根據採購設定，如果需要採購入庫==“是”，則為了創建採購發票，用戶需要首先為物料{0}創建採購訂單
Home Folder,根目錄
Root Account must be a group,根科目必須是“組”
Root Type,一級科目類型
Root Type is mandatory,一級科目類型是必填欄位
Root cannot have a parent cost center,根結點(成本中心)不能有父成本中心
Grant,格蘭特
Plaid transactions sync error,格子交易同步錯誤
Plaid public token error,格子公共令牌錯誤
Plaid authentication error,格子認證錯誤
Plaid Settings,格子設定
Plaid Access Token,格子訪問令牌
Format,格式
Format Data,格式化資料
Frames,框架
Blanket Order,框架訂單
Blanket Order Rate,框架訂單單價
Blanket Order Item,框架訂單明細
Desktop,桌面
Desktop Icon,桌面圖示
Desktop Icon already exists,桌面圖示已經存在
Desktop Background,桌面背景
Desk Access,桌面訪問
Sandy Loam,桑迪Loam
Sandy Clay,桑迪黏土
Sandy Clay Loam,桑迪黏土壤土
Archive,檔案
Meghalaya,梅加拉亞邦
Inspection,檢查
Checking one moment,檢查一下
Check Supplier Invoice Number Uniqueness,檢查供應商發票號唯一性
Check availability,檢查可用性
Check if it is a hydroponic unit,檢查它是否是水培單位
Vital Signs,檢查症狀
Check Request URL,檢查請求URL
Check Communication,檢查通信
Check in (group),倉庫組
Detected Disease,檢測到的病蟲害
Detected Diseases,檢測到的病蟲害
Search Term,檢索關鍵字
Inspection Criteria,檢驗標準
Inspection Type,檢驗類型
Readings,檢驗結果
Reading 1,檢驗結果1
Reading 10,檢驗結果10
Reading 2,檢驗結果2
Reading 3,檢驗結果3
Reading 4,檢驗結果4
Reading 5,檢驗結果5
Reading 6,檢驗結果6
Reading 7,檢驗結果7
Reading 8,檢驗結果8
Reading 9,檢驗結果9
The minimum distance between rows of plants for optimum growth,植株之間的最小距離，以獲得最佳生長
Plant Analysis,植物分析
Plant Analysis Criteria,植物分析標準
Plant Analysis Criterias,植物分析標準
Plants and Machineries,植物和機械設備
Summary,概要
Module,模組
Modules,模組
MODULE,模組
Show in Module Section,模組首頁中的顯示位置
Module Name,模組名稱
module name...,模組名稱...
Module Def,模組定義
Module to Export,模組匯出
Module Not Found,模組未找到
Module Path,模組路徑
Template,模板
Template ID,模板ID
Template Name,模板名稱
Variant Of,模板物料
Syntax error in template,模板語法錯誤
Landscape,橫向列印
Banner,橫幅
Banner HTML,橫幅HTML
Banner Image,橫幅圖像
Banner is above the Top Menu Bar.,橫幅在頂部選單上方顯示。
Orange,橙色
orange,橙色
Student Fee Collection,欠費清單
Arrear Component,欠費組件
Welcome to {0},歡迎{0}
Welcome to ERPNext,歡迎使用ERPNext
Welcome to ERPNext!,歡迎使用ERPNext
Welcome Message,歡迎消息
Welcome email sent,歡迎電子郵件已發送
eu-north-1,歐盟 - 北 -  1
eu-west-1,歐盟 - 西1
eu-west-2,歐盟 - 西2
eu-west-3,歐盟 - 西3號
Adding System Manager to this User as there must be atleast one System Manager,正在為此用戶新增“系統管理員”角色，因為至少需要一個系統管理員
Refreshing...,正在刷新...
Under Review,正在審查中
Under Development,正在開發中
Submiting {0},正在提交{0}
Update in progress. It might take a while.,正在更新。請稍等。
Currently Viewing,正在查看
Running,正在運行
General,正常
Normal,正常
Normal Test Template,正常測試模板
Normal Test Items,正常測試物料
Correct,正確
Is Correct,正確答案
This {0} conflicts with {1} for {2} {3},此{0}衝突{1}在{2} {3}
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".","此為物料和銷售訂單的默認計量單位。如果不設定則系統默認計量單位是""""個""""。"
Series List for this Transaction,本單據類型單據號模板清單
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,此倉庫已有物料憑證，無法刪除。
Price Not UOM Dependent,此價格適用所有單位
% of materials delivered against this Delivery Note,此出貨單% 的物料已出貨。
Number of columns for this section. 3 cards will be shown per row if you select 3 columns.,此分區列數。如果選擇3列，每行將顯示3張卡片。
This feature is brand new and still experimental,此功能是全新的，仍處於試驗階段
This document cannot be reverted,此單據無法還原
This employee already has a log with the same timestamp.{0},此員工已有一個具有相同時間戳的日誌。{0}
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,此欄位連結到的單據類型，例如客戶
DocType on which this Workflow is applicable.,此工作流適用的單據類型。
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,用於調整物料庫存數量(庫存檔點)和成本價(成本調整)。
"Email Domain not configured for this account, Create one?",此帳號的電子信箱未配置，創建一個？
Validity period of this quotation has ended.,此報價的有效期已經結束。
This report was generated on {0},此報表是在{0}上生成的
" This report was generated a few seconds ago. To get the updated report, click on Rebuild. See all past reports.",此報表是若干分鐘前生成的，如需獲取最新資料，請點擊重新生成按鈕。點這裡可以查看之前的歷史報表。
This action will stop future billing. Are you sure you want to cancel this subscription?,此操作將停止未來的結算。您確定要取消此訂閱嗎？
This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?,此操作將取消此帳戶與將ERPNext與您的銀行帳戶集成的任何外部服務的連結。它無法撤銷。你確定嗎 ？
Cannot refer row number greater than or equal to current row number for this Charge type,此收取類型不能引用大於或等於本行的資料。
The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,此收付款申請中設定的{0}金額與所有付款計劃的計算金額不同：{1}。在提交單據之前確保這是正確的。
This Service Level Agreement is specific to Customer {0},此服務級別協議特定於客戶{0}
Salary Slip of employee {0} already created for this period,此期間的員工{0}工資單已創建
This query style is discontinued,此查詢樣式已停止
This format is used if country specific format is not found,此格式用於如果找不到特定國家的格式
This is the number of the last created transaction with this prefix,此流水號段(前綴)的當前流水號
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,此物料為模板物料，不可在業務交易中直接使用。模板物料的屬性(欄位值)會被複製到多規格物料，可以設定“不允許複製”
This Item is a Variant of {0} (Template).,此物料是基於模板物料{0}的多規格物料。
The BOM which will be replaced,此物料清單將被替換
Single unit of an Item.,此物料的一件。
No email account associated with the User. Please add an account under User > Email Inbox.,此用戶未關聯信箱帳號，請在用戶收件箱中設定信箱
This email was sent to {0} and copied to {1},此電子郵件發送到{0}，並複製到{1}
This email is autogenerated,此電子郵件是自動生成的
This Kanban Board will be private,此看板只適用於本帳號
Rate at which this tax is applied,此科目的默認稅率
Is this Tax included in Basic Rate?,單價含稅？
This form does not have any input,此表單無輸入欄位
Maximum Attachment Limit for this record reached.,已超出最大附件數量限制。
This request has not yet been approved by the user.,此請求尚未得到用戶的批准。
Days for which Holidays are blocked for this department.,此部門的禁止休假日
This bank transaction is already fully reconciled,此銀行交易流水已完全已核銷
This bank account is already synchronized,此銀行帳戶已同步
Public token is missing for this bank,此銀行缺少公共令牌
This link has already been activated for verification.,此連結已啟用以進行驗證。
This link is invalid or expired. Please make sure you have pasted correctly.,此連結是無效或過期。請確保你已經正確黏貼。
% of materials delivered against this Sales Order,此銷售訂單% 的物料已出貨。
% of materials billed against this Sales Order,此銷售訂單%的物料已開票。
Step,步
Walking,步行
Expected Value After Useful Life,殘值
Section Break,段
align-justify,段落兩端對齊
hub,轂
Mother,母親
Parent Company,母公司
